type,id,time,travelTime,carsInSegment,score
match,'002001,1267987098.546,38.989,7,0.12
match,'002001,1267987108.487,23.362,1,0.18
match,'003002,1267987109.531,86.790,10,0.17
match,'003002,1267987143.218,111.311,13,0.07
match,'003002,1267987152.121,118.682,12,0.16
match,'003002,1267987156.296,112.326,11,0.24
match,'003002,1267987249.324,131.158,10,0.18
match,'003002,1267987251.707,122.323,8,0.26
match,'003002,1267987261.152,55.097,7,0.03
match,'003002,1267987276.901,63.191,4,0.18
match,'003002,1267987279.074,59.830,2,0.26
match,'003002,1267987297.457,42.549,5,0.24
match,'002001,1267987300.199,39.047,4,0.13
match,'003002,1267987364.296,82.498,10,0.26
match,'003002,1267987366.472,80.065,9,0.14
match,'002001,1267987382.124,67.062,4,0.25
match,'002001,1267987479.898,126.454,2,0.08
match,'003002,1267987491.854,181.057,15,0.27
match,'002001,1267987507.803,143.507,4,0.24
match,'003002,1267987508.791,96.344,13,0.10
match,'003002,1267987539.453,122.241,13,0.15
match,'003002,1267987555.866,84.647,7,0.04
match,'003002,1267987567.988,87.596,7,0.29
match,'003002,1267987570.550,64.033,4,0.17
match,'002001,1267987582.600,82.426,6,0.29
match,'003002,1267987593.082,80.807,2,0.13
match,'003002,1267987627.291,18.922,3,0.21
match,'002001,1267987650.410,141.619,14,0.12
match,'002001,1267987700.546,86.664,5,0.20
match,'003002,1267987721.557,107.243,9,0.13
match,'003002,1267987767.788,67.203,4,0.17
match,'002001,1267987768.495,53.972,4,0.24
match,'002001,1267987771.010,13.116,2,0.24
match,'003002,1267987789.944,82.069,4,0.07
match,'003002,1267987793.971,81.009,2,0.16
match,'003002,1267987869.535,64.448,11,0.26
match,'002001,1267987878.109,45.438,3,0.10
match,'002001,1267987880.332,38.793,2,0.19
match,'003002,1267987902.531,93.959,14,0.16
match,'003002,1267987904.914,93.702,13,0.16
match,'003002,1267987953.209,135.223,16,0.14
match,'003002,1267987967.664,106.289,18,0.21
match,'002001,1267987978.007,132.141,15,0.17
match,'002001,1267987982.621,113.086,14,0.28
match,'003002,1267987983.523,77.147,11,0.26
match,'002001,1267987987.597,75.289,12,0.26
match,'002001,1267987991.674,48.156,11,0.09
match,'002001,1267987995.472,42.263,8,0.10
match,'002001,1267987998.925,29.981,5,0.19
match,'002001,1267988038.944,15.835,0,0.13
match,'003002,1267988047.038,75.951,8,0.28
match,'003002,1267988076.139,73.068,8,0.11
match,'003002,1267988084.921,78.521,8,0.08
match,'003002,1267988125.764,116.466,15,0.13
match,'003002,1267988129.718,118.108,14,0.14
match,'003002,1267988134.113,81.965,13,0.15
match,'002001,1267988152.042,105.004,12,0.28
match,'002001,1267988173.855,88.934,11,0.25
match,'002001,1267988179.062,83.001,8,0.23
match,'002001,1267988183.655,53.937,5,0.18
match,'003002,1267988199.046,105.921,16,0.23
match,'003002,1267988201.409,101.753,14,0.10
match,'003002,1267988247.635,101.510,12,0.26
match,'003002,1267988248.862,100.978,11,0.13
match,'003002,1267988251.448,86.470,9,0.28
match,'003002,1267988252.597,49.012,2,0.19
match,'003002,1267988257.042,51.887,1,0.22
match,'002001,1267988266.850,67.804,11,0.16
match,'002001,1267988269.624,50.285,9,0.25
match,'002001,1267988272.002,28.601,7,0.08
match,'002001,1267988277.460,26.012,4,0.18
match,'003002,1267988335.816,68.666,10,0.17
match,'003002,1267988339.894,69.199,8,0.12
